*****************************************************************************************************
For file graph_gen3.txt 
Total Number of Pages : 1000
Total Number of Nodes in Cluster :4
Running time at 0 = 0.143185

*****************************************************************************************************
Page Ranks
-----------------------------------------------------------------------------------------------------
Page 633: 0.001001
Page 634: 0.001001
Page 635: 0.001001
Page 636: 0.001001
Page 637: 0.001001
Page 638: 0.001001
Page 639: 0.001001
Page 640: 0.001001
Page 641: 0.001001
Page 642: 0.001001
Page 643: 0.001001
Page 644: 0.001001
Page 645: 0.001001
Page 646: 0.001001
Page 647: 0.001001
Page 648: 0.001001
Page 649: 0.001001
Page 650: 0.001001
Page 651: 0.001001
Page 652: 0.001001
Page 653: 0.001001
Page 654: 0.001001
Page 655: 0.001001
Page 656: 0.001001
Page 657: 0.001001
Page 658: 0.001001
Page 659: 0.001001
Page 660: 0.001001
Page 661: 0.001001
Page 662: 0.001001
Page 663: 0.001001
Page 664: 0.001001
Page 665: 0.001001
Page 666: 0.001001
Page 667: 0.001001
Page 668: 0.001001
Page 669: 0.001001
Page 670: 0.001001
Page 671: 0.001001
Page 672: 0.001001
Page 673: 0.001001
Page 674: 0.001001
Page 675: 0.001001
Page 676: 0.001001
Page 677: 0.001001
Page 678: 0.001001
Page 679: 0.001001
Page 680: 0.001001
Page 681: 0.001001
Page 682: 0.001001
Page 683: 0.001001
Page 684: 0.001001
Page 685: 0.001001
Page 686: 0.001001
Page 687: 0.001001
Page 688: 0.001001
Page 689: 0.001001
Page 690: 0.001001
Page 691: 0.001001
Page 692: 0.001001
Page 693: 0.001001
Page 694: 0.001001
Page 695: 0.001001
Page 696: 0.001001
Page 697: 0.001001
Page 698: 0.001001
Page 699: 0.001001
Page 700: 0.001001
Page 701: 0.001001
Page 702: 0.001001
Page 703: 0.001001
Page 704: 0.001001
Page 705: 0.001001
Page 706: 0.001001
Page 707: 0.001001
Page 708: 0.001001
Page 709: 0.001001
Page 710: 0.001001
Page 711: 0.001001
Page 712: 0.001001
Page 713: 0.001001
Page 714: 0.001001
Page 715: 0.001001
Page 716: 0.001001
Page 717: 0.001001
Page 718: 0.001001
Page 719: 0.001001
Page 720: 0.001001
Page 721: 0.001001
Page 722: 0.001001
Page 723: 0.001001
Page 724: 0.001001
Page 725: 0.001001
Page 726: 0.001001
Page 727: 0.001001
Page 728: 0.001001
Page 729: 0.001001
Page 730: 0.001001
Page 731: 0.001001
Page 732: 0.001001
Page 733: 0.001001
Page 734: 0.001001
Page 735: 0.001001
Page 736: 0.001001
Page 737: 0.001001
Page 738: 0.001001
Page 739: 0.001001
Page 740: 0.001001
Page 741: 0.001001
Page 742: 0.001001
Page 743: 0.001001
Page 744: 0.001001
Page 745: 0.001001
Page 746: 0.001001
Page 747: 0.001001
Page 748: 0.001001
Page 749: 0.001001
Page 750: 0.001001
Page 751: 0.001001
Page 752: 0.001001
Page 753: 0.001001
Page 754: 0.001001
Page 755: 0.001001
Page 756: 0.001001
Page 757: 0.001001
Page 758: 0.001001
Page 759: 0.001001
Page 760: 0.001001
Page 761: 0.001001
Page 762: 0.001001
Page 763: 0.001001
Page 764: 0.001001
Page 765: 0.001001
Page 766: 0.001001
Page 767: 0.001001
Page 768: 0.001001
Page 769: 0.001001
Page 770: 0.001001
Page 771: 0.001001
Page 772: 0.001001
Page 773: 0.001001
Page 774: 0.001001
Page 775: 0.001001
Page 776: 0.001001
Page 777: 0.001001
Page 778: 0.001001
Page 779: 0.001001
Page 780: 0.001001
Page 781: 0.001001
Page 782: 0.001001
Page 783: 0.001001
Page 784: 0.001001
Page 785: 0.001001
Page 786: 0.001001
Page 787: 0.001001
Page 788: 0.001001
Page 789: 0.001001
Page 790: 0.001001
Page 791: 0.001001
Page 792: 0.001001
Page 793: 0.001001
Page 794: 0.001001
Page 795: 0.001001
Page 796: 0.001001
Page 797: 0.001001
Page 798: 0.001001
Page 799: 0.001001
Page 800: 0.001001
Page 801: 0.001001
Page 802: 0.001001
Page 803: 0.001001
Page 804: 0.001001
Page 805: 0.001001
Page 806: 0.001001
Page 807: 0.001001
Page 808: 0.001001
Page 809: 0.001001
Page 810: 0.001001
Page 811: 0.001001
Page 812: 0.001001
Page 813: 0.001001
Page 814: 0.001001
Page 815: 0.001001
Page 816: 0.001001
Page 817: 0.001001
Page 818: 0.001001
Page 819: 0.001001
Page 820: 0.001001
Page 821: 0.001001
Page 822: 0.001001
Page 823: 0.001001
Page 824: 0.001001
Page 825: 0.001001
Page 826: 0.001001
Page 827: 0.001001
Page 828: 0.001001
Page 829: 0.001001
Page 830: 0.001001
Page 831: 0.001001
Page 832: 0.001001
Page 833: 0.001001
Page 834: 0.001001
Page 835: 0.001001
Page 836: 0.001001
Page 837: 0.001001
Page 838: 0.001001
Page 839: 0.001001
Page 840: 0.001001
Page 841: 0.001001
Page 842: 0.001001
Page 843: 0.001001
Page 844: 0.001001
Page 845: 0.001001
Page 846: 0.001001
Page 847: 0.001001
Page 848: 0.001001
Page 849: 0.001001
Page 850: 0.001001
Page 851: 0.001001
Page 852: 0.001001
Page 853: 0.001001
Page 854: 0.001001
Page 855: 0.001001
Page 856: 0.001001
Page 857: 0.001001
Page 858: 0.001001
Page 859: 0.001001
Page 860: 0.001001
Page 861: 0.001001
Page 862: 0.001001
Page 863: 0.001001
Page 864: 0.001001
Page 865: 0.001001
Page 866: 0.001001
Page 867: 0.001001
Page 868: 0.001001
Page 869: 0.001001
Page 870: 0.001001
Page 871: 0.001001
Page 872: 0.001001
Page 873: 0.001001
Page 874: 0.001001
Page 875: 0.001001
Page 876: 0.001001
Page 877: 0.001001
Page 878: 0.001001
Page 879: 0.001001
Page 880: 0.001001
Page 881: 0.001001
Page 882: 0.001001
Page 883: 0.001001
Page 884: 0.001001
Page 885: 0.001001
Page 886: 0.001001
Page 887: 0.001001
Page 888: 0.001001
Page 889: 0.001001
Page 890: 0.001001
Page 891: 0.001001
Page 892: 0.001001
Page 893: 0.001001
Page 894: 0.001001
Page 895: 0.001001
Page 896: 0.001001
Page 897: 0.001001
Page 898: 0.001001
Page 899: 0.001001
Page 900: 0.001001
Page 901: 0.001001
Page 902: 0.001001
Page 903: 0.001001
Page 904: 0.001001
Page 905: 0.001001
Page 906: 0.001001
Page 907: 0.001001
Page 908: 0.001001
Page 909: 0.001001
Page 910: 0.001001
Page 911: 0.001001
Page 912: 0.001001
Page 913: 0.001001
Page 914: 0.001001
Page 915: 0.001001
Page 916: 0.001001
Page 917: 0.001001
Page 918: 0.001001
Page 919: 0.001001
Page 920: 0.001001
Page 921: 0.001001
Page 922: 0.001001
Page 923: 0.001001
Page 924: 0.001001
Page 925: 0.001001
Page 926: 0.001001
Page 927: 0.001001
Page 928: 0.001001
Page 929: 0.001001
Page 930: 0.001001
Page 931: 0.001001
Page 932: 0.001001
Page 933: 0.001001
Page 934: 0.001001
Page 935: 0.001001
Page 936: 0.001001
Page 937: 0.001001
Page 938: 0.001001
Page 939: 0.001001
Page 940: 0.001001
Page 941: 0.001001
Page 942: 0.001001
Page 943: 0.001001
Page 944: 0.001001
Page 945: 0.001001
Page 946: 0.001001
Page 947: 0.001001
Page 948: 0.001001
Page 949: 0.001001
Page 950: 0.001001
Page 951: 0.001001
Page 952: 0.001001
Page 953: 0.001001
Page 954: 0.001001
Page 955: 0.001001
Page 956: 0.001001
Page 957: 0.001001
Page 958: 0.001001
Page 959: 0.001001
Page 960: 0.001001
Page 961: 0.001001
Page 962: 0.001001
Page 963: 0.001001
Page 964: 0.001001
Page 965: 0.001001
Page 966: 0.001001
Page 967: 0.001001
Page 968: 0.001001
Page 969: 0.001001
Page 970: 0.001001
Page 971: 0.001001
Page 972: 0.001001
Page 973: 0.001001
Page 974: 0.001001
Page 975: 0.001001
Page 976: 0.001001
Page 977: 0.001001
Page 978: 0.001001
Page 979: 0.001001
Page 980: 0.001001
Page 981: 0.001001
Page 982: 0.001001
Page 983: 0.001001
Page 984: 0.001001
Page 985: 0.001001
Page 986: 0.001001
Page 987: 0.001001
Page 988: 0.001001
Page 989: 0.001001
Page 990: 0.001001
Page 991: 0.001001
Page 992: 0.001001
Page 993: 0.001001
Page 994: 0.001001
Page 995: 0.001001
Page 996: 0.001001
Page 997: 0.001001
Page 998: 0.001001
Page 999: 0.001001
Page 1000: 0.001001
